transaction_id,order_date,product_category,product_id, product_name,units_sold,unit_price,total_revenue,region ,payment_method
10001,10/8/2024,Home Appliances,179,Dyson V11 Vacuum,4,213.35,853.4,Europe,Debit Card
10002,3/20/2024,Books,105,Harry Potter ,4,25.13,100.52,Europe,Debit Card
10003,7/29/2024,Books,153,Atomic Habits,5,774.46,3872.3,Asia,Debit Card
10004,12/24/2024,Books,120,Harry Potter,1,40.47,40.47,Europe,Credit Card
10005,3/31/2024,Clothing,187,Nike Air Max,4,2459.19,9836.76,Europe,Credit Card
10006,6/1/2024,Beauty Products,110,Dove Soap Pack,4,1784.85,7139.4,Asia,Credit Card
10007,7/14/2024,Beauty Products,181,Dove Soap Pack,5,604.37,3021.85,Europe,PayPal
10008,7/13/2024,Books,150,The Da Vinci Code,5,434.84,2174.2,Europe,Debit Card
10009,6/17/2024,Clothing,159,Nike Air Max,2,952.26,1904.52,Asia,Credit Card
10010,3/27/2024,Clothing,112,Adidas Hoodie,3,1772.07,5316.21,Asia,Debit Card
10011,5/16/2024,Clothing,107,Adidas Hoodie,1,322.49,322.49,North America,PayPal
10012,5/26/2024,Beauty Products,165,Neutrogena Skincare Set,2,47.77,95.54,Europe,PayPal
10013,8/27/2024,Home Appliances,193,Blueair Classic 480i,5,660.89,3304.45,North America,Debit Card
10014,10/9/2024,Books,161,Atomic Habits,5,918.75,4593.75,North America,Credit Card
10015,6/2/2024,Books,199,Atomic Habits,2,1015.66,2031.32,Europe,Credit Card
10016,12/3/2024,Books,165,Harry Potter,1,789.64,789.64,North America,Debit Card
10017,11/3/2024,Electronics,124,Samsung Galaxy S23,3,2260.25,6780.75,Europe,Credit Card
10018,5/27/2024,Beauty Products,142,Dove Soap Pack,2,417.72,835.44,North America,Credit Card
10019,5/1/2024,Electronics,157,iPhone 14 Pro,1,2306.71,2306.71,North America,Debit Card
10020,3/22/2024,Beauty Products,118,L'Oreal Shampoo,2,1386.09,2772.18,North America,PayPal
10021,8/26/2024,Electronics,149,iPhone 14 Pro,4,2078.12,8312.48,Asia,Debit Card
10022,2/29/2024,Home Appliances,109,Philips Air Fryer,2,1517.34,3034.68,Europe,PayPal
10023,12/7/2024,Clothing,168,Levi's 501 Jeans,5,153.04,765.2,Asia,Credit Card
10024,4/2/2024,Clothing,127,Nike Air Max,5,2050.79,10253.95,Europe,PayPal
10025,7/16/2024,Clothing,198,Levi's 501 Jeans,2,1067.92,2135.84,North America,Credit Card
10026,7/13/2024,Home Appliances,151,Philips Air Fryer,1,670.94,670.94,Europe,Debit Card
10027,4/8/2024,Beauty Products,180,Neutrogena Skincare Set,4,2401.34,9605.36,Europe,Credit Card
